claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_weight,fraud,latitude,longitude
29609,50.0,F,1.0,90,39135.0,1,1,Own,Local,0,0.0,50,Online,0,5866.835619,5.0,Large,9556.595872,28996.57016,0,40.66,-80.24
9460,35.0,F,1.0,94,35553.0,1,1,Own,Parking Lot,0,1.0,12,Broker,0,3198.017617,3.0,Large,26284.39905,10311.38505,0,40.42,-80.35
13782,55.0,F,1.0,68,40090.0,1,0,Own,Local,0,0.0,97,Broker,1,2741.537462,5.0,Large,23273.93886,24769.56131,0,38.97,-77.64
25065,49.0,F,0.0,75,38921.0,1,0,Rent,Parking Lot,0,0.0,100,Broker,0,2261.1286,3.0,Medium,14348.45597,36530.13738,1,40.64,-80.49
28265,40.0,M,1.0,90,36911.0,0,0,Own,Local,0,0.0,0,Broker,0,6013.423653,4.0,Medium,38449.11025,21087.95005,0,42.03,-93.65
27039,53.0,M,1.0,75,39704.0,0,1,Own,Parking Lot,0,0.0,74,Phone,1,6760.550715,3.0,Compact,36968.99256,11967.18322,0,33.5,-112.14
24594,46.0,M,1.0,62,38285.0,0,1,Own,Parking Lot,0,0.0,51,Phone,0,3347.841637,7.0,Large,20439.70827,9741.545929,0,40.38,-80.39
29082,32.0,M,1.0,80,34651.0,1,1,Own,Local,0,1.0,51,Broker,1,1524.281063,6.0,Compact,29336.03299,20384.43793,1,39.71,-104.22
26128,26.0,M,0.0,70,32585.0,0,0,Own,Local,0,0.0,18,Phone,0,1996.279323,5.0,Medium,21413.19311,29037.88656,0,40.29,-79.88
18603,20.0,M,1.0,57,29947.0,1,1,Rent,Parking Lot,1,1.0,19,Broker,1,2670.059964,8.0,Compact,19020.15937,13631.18736,0,41.36,-93.47
23396,44.0,F,0.0,80,37828.0,1,1,Own,Highway,1,0.0,66,Broker,1,4233.855922,8.0,Medium,22966.70718,18226.21931,0,41.01,-93.3
26782,52.0,M,0.0,81,39513.0,1,0,Rent,Local,1,0.0,100,Broker,1,2800.75751,4.0,Medium,39702.7006,16800.4489,0,39.13,-77.71
17614,32.0,M,0.0,61,34681.0,1,0,Own,Local,0,1.0,27,Broker,0,4306.119411,3.0,Compact,14910.1402,8204.271124,1,38.97,-77.73
26604,44.0,M,0.0,58,37844.0,1,0,Rent,Highway,0,1.0,35,Broker,1,6200.378714,6.0,Medium,20722.32815,19907.14239,1,40.61,-80.25
24742,37.0,M,1.0,66,36116.0,0,1,Own,Local,0,0.0,25,Phone,1,4120.047303,6.0,Compact,36632.52218,18377.6742,0,33.3,-112.04
28497,32.0,M,1.0,80,34652.0,0,1,Own,Highway,3,0.0,50,Phone,1,7490.652137,6.0,Medium,25285.20068,10200.28206,1,33.45,-112.08
27206,47.0,M,1.0,91,38489.0,1,0,Rent,Local,1,1.0,50,Broker,0,5971.91128,3.0,Compact,13755.41708,15038.58736,1,42.02,-93.62
20723,79.0,F,1.0,76,43719.0,1,1,Rent,Local,0,0.0,48,Phone,1,7862.344364,6.0,Medium,19338.10759,6966.377059,0,40.27,-79.8
22853,59.0,M,1.0,76,40778.0,1,1,Rent,Parking Lot,0,0.0,49,Phone,1,8837.756201,4.0,Large,10468.37917,38159.75942,0,40.61,-80.25
16055,41.0,M,0.0,40,37122.0,1,0,Own,Local,0,1.0,88,Phone,0,1271.07869,2.0,Medium,13303.88059,5995.317272,0,38.97,-77.73
3218,44.0,F,1.0,69,37839.0,1,1,Rent,Highway,1,1.0,70,Broker,0,3220.170298,1.0,Large,32833.85222,13960.98382,1,41.89,-94.33
25142,68.0,M,1.0,72,42190.0,0,0,Own,Local,0,1.0,92,Phone,0,6777.638769,2.0,Medium,22314.1869,32051.20034,0,39.16,-77.61
10925,57.0,F,1.0,88,40426.0,1,0,Rent,Local,0,0.0,51,Broker,0,5133.256076,5.0,Medium,29016.33403,29677.06098,1,40.38,-79.81
20786,27.0,F,1.0,88,32953.0,1,0,Rent,Highway,0,0.0,10,Online,1,8183.867419,6.0,Medium,5735.36828,19746.46174,0,40.12,-79.86
25128,51.0,M,1.0,94,39330.0,1,0,Own,Parking Lot,0,1.0,11,Broker,0,2912.393657,5.0,Large,26998.49079,22637.68245,0,41.5,-94.52
17478,35.0,M,0.0,72,35546.0,1,0,Own,Highway,1,1.0,48,Broker,1,945.4161271,5.0,Medium,12940.75205,72109.25792,0,41.67,-93.24
24394,54.0,M,1.0,93,39895.0,0,1,Own,Parking Lot,2,0.0,45,Broker,1,4239.942105,8.0,Medium,12580.52474,38726.15481,0,39.63,-104.78
5870,47.0,M,0.0,57,38496.0,1,1,Rent,Local,0,0.0,100,Broker,0,2047.855962,4.0,Compact,22479.41329,39487.5343,1,38.92,-77.35
28810,45.0,M,1.0,79,38063.0,0,0,Rent,Local,1,1.0,36,Online,1,7378.172275,4.0,Large,10668.51696,22439.79952,0,38.92,-77.92
22674,41.0,M,1.0,31,37137.0,1,0,Own,Parking Lot,0,0.0,29,Broker,0,8467.950848,5.0,Medium,17862.38958,22829.24004,0,40.13,-79.9
16475,37.0,F,1.0,86,36117.0,1,0,Own,Parking Lot,0,1.0,22,Broker,1,4476.673384,6.0,Large,16715.58504,9683.684808,0,42.03,-93.65
12935,46.0,M,0.0,68,38291.0,1,1,Own,Local,5,0.0,35,Broker,1,2565.457568,2.0,Large,32820.28464,29399.95585,1,39.0,-77.52
27834,25.0,M,0.0,59,32180.0,0,1,Rent,Highway,0,1.0,21,Online,0,4396.950682,7.0,Medium,35232.12551,34841.40078,0,40.38,-80.39
11190,57.0,M,0.0,94,40421.0,1,1,Own,Highway,1,1.0,79,Phone,1,4821.040104,5.0,Medium,35616.05899,18205.11381,0,39.69,-104.81
21059,25.0,F,1.0,58,32177.0,0,0,Own,Highway,0,0.0,0,Online,1,5655.435194,8.0,Large,20406.02699,39441.23541,0,33.45,-111.97
19247,61.0,M,1.0,90,41110.0,1,1,Rent,Local,0,0.0,1,Broker,0,4656.198613,8.0,Compact,25604.21752,26272.3081,0,33.62,-112.05
8216,46.0,M,1.0,79,38285.0,1,1,Own,Local,0,0.0,0,Broker,1,6032.532935,1.0,Medium,42500.52924,18661.42999,0,39.22,-104.53
2097,45.0,M,1.0,87,38065.0,1,1,Rent,Highway,0,0.0,96,Broker,1,3796.090807,3.0,Medium,16912.58629,15446.05,0,33.59,-112.11
10463,25.0,F,0.0,65,32196.0,1,1,Rent,Parking Lot,0,0.0,0,Online,1,4099.799857,4.0,Compact,38594.79631,35846.25251,0,41.89,-94.33
29738,45.0,M,1.0,67,38066.0,1,1,Own,Highway,0,0.0,100,Phone,0,4253.054633,5.0,Large,59232.58367,12338.54166,0,38.97,-77.64
5032,47.0,M,0.0,91,38517.0,0,1,Own,Parking Lot,0,0.0,50,Phone,1,4430.584997,4.0,Compact,18412.46954,51553.55796,1,33.45,-111.97
