,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,latitude,longitude,claim_year,claim_month,claim_day,claim_weekofyear,claim_weekday,claim_weekend,elapsed_time,rating_per_claim
0,1,46.0,M,1.0,85,38301.0,1,1,Rent,80006,2016-12-16,Local,1,0.0,74,Broker,0,7530.940993000001,9.0,Compact,12885.45235,white,16161.33381,0,39.82,-105.1,2016,12,16,50,4,0,381,42.5
1,3,21.0,F,0.0,75,30445.0,0,1,Rent,15021,2015-02-12,Highway,1,1.0,79,Online,0,2966.024895,4.0,Large,29429.45218,white,28691.964219999998,0,40.38,-80.39,2015,2,12,7,3,0,1054,37.5
2,4,49.0,F,0.0,87,38923.0,0,1,Own,20158,2016-12-06,Local,0,0.0,0,Broker,0,6283.888333,3.0,Compact,21701.18195,white,22090.94758,1,39.13,-77.66,2016,12,6,49,1,0,391,87.0
3,5,58.0,F,1.0,58,40605.0,1,0,Own,15024,2016-05-05,Local,3,0.0,99,Broker,1,6169.747993999999,4.0,Medium,13198.27344,other,38329.581060000004,1,40.54,-79.8,2016,5,5,18,3,0,606,14.5
4,6,38.0,M,1.0,95,36380.0,1,0,Rent,50034,2015-10-27,Highway,0,1.0,7,Broker,0,4541.38715,7.0,Medium,38060.21122,gray,25876.56319,0,42.47,-93.64,2015,10,27,44,1,0,797,95.0
5,7,56.0,F,0.0,72,40240.0,0,0,Own,50047,2016-11-16,Highway,0,0.0,64,Phone,0,5388.645056,4.0,Medium,17688.204980000002,black,15234.082040000001,1,41.51,-93.48,2016,11,16,46,2,0,411,72.0
6,8,27.0,M,1.0,80,32952.0,1,0,Rent,15001,2015-03-14,Parking Lot,0,0.0,50,Online,1,8960.072398999999,7.0,Compact,26411.536819999998,red,28994.53868,0,40.61,-80.25,2015,3,14,11,5,1,1024,80.0
7,10,40.0,M,1.0,79,36891.0,1,1,Own,80016,2016-01-07,Local,5,0.0,95,Online,1,13844.3649,8.0,Medium,11355.270129999999,other,34045.83028,0,39.6,-104.71,2016,1,7,1,3,0,725,13.166666666666666
8,12,45.0,F,0.0,86,38069.0,0,1,Own,15024,2015-03-31,Parking Lot,0,0.0,3,Broker,0,6038.5015140000005,5.0,Compact,49267.97071,black,23206.50804,0,40.54,-79.8,2015,3,31,14,1,0,1007,86.0
9,15,31.0,M,1.0,80,34324.0,0,1,Rent,85032,2015-09-03,Parking Lot,0,0.0,9,Broker,0,5869.9478579999995,5.0,Large,19929.78577,white,37277.7591,0,33.62,-112.0,2015,9,3,36,3,0,851,80.0
10,16,53.0,F,1.0,76,39699.0,1,0,Own,15057,2016-05-14,Local,0,0.0,19,Broker,0,8201.183031999999,6.0,Medium,24156.55616,blue,14259.725869999998,0,40.37,-80.23,2016,5,14,19,5,1,597,76.0
11,17,59.0,F,1.0,93,40753.0,1,1,Own,50033,2015-02-12,Local,0,1.0,8,Broker,1,6051.751915,3.0,Large,7697.895045,black,6736.245994,0,41.36,-93.79,2015,2,12,7,3,0,1054,93.0
12,19,25.0,M,1.0,75,32194.0,1,0,Rent,80003,2015-07-11,Parking Lot,1,0.0,99,Online,0,4225.808816,5.0,Large,18676.987530000002,white,5011.824995,0,39.83,-105.06,2015,7,11,28,5,1,905,37.5
13,20,39.0,F,0.0,35,36635.0,0,1,Rent,15035,2015-04-20,Local,0,0.0,98,Phone,1,4650.054155,6.0,Compact,17917.04586,red,13752.12455,1,40.38,-79.81,2015,4,20,17,0,0,987,35.0
14,21,51.0,M,0.0,75,39322.0,0,1,Own,85023,2015-06-30,Local,0,0.0,12,Broker,1,6671.129734,5.0,Medium,56012.23142999999,black,15393.233119999999,0,33.63,-112.09,2015,6,30,27,1,0,916,75.0
15,25,47.0,M,1.0,87,38516.0,0,0,Rent,15020,2015-08-05,Local,0,0.0,57,Broker,0,6521.146712,4.0,Medium,36074.484769999995,blue,14712.630630000001,1,40.23,-79.95,2015,8,5,32,2,0,880,87.0
16,26,26.0,M,1.0,83,32592.0,1,0,Rent,20135,2015-11-11,Parking Lot,0,0.0,81,Phone,1,8782.034073,7.0,Compact,28340.54126,black,25538.26508,0,39.11,-77.83,2015,11,11,46,2,0,782,83.0
17,29,46.0,M,0.0,81,38293.0,1,1,Rent,20101,2016-02-19,Local,0,0.0,50,Broker,1,4559.869785,3.0,Medium,16442.55536,blue,25421.81041,1,38.92,-77.35,2016,2,19,7,4,0,682,81.0
18,30,43.0,F,1.0,96,37609.0,0,1,Own,15056,2016-04-23,Parking Lot,2,0.0,71,Online,1,6835.285806999999,5.0,Compact,14937.5385,silver,20063.32729,1,40.56,-80.21,2016,4,23,16,5,1,618,32.0
19,31,39.0,M,0.0,91,36639.0,1,0,Rent,80003,2015-11-03,Local,0,1.0,57,Broker,1,6466.409413,4.0,Compact,20088.60345,silver,26804.02332,0,39.83,-105.06,2015,11,3,45,1,0,790,91.0
20,32,40.0,M,0.0,76,36876.0,0,0,Rent,15024,2015-10-25,Parking Lot,0,0.0,28,Online,0,1538.279552,6.0,Medium,26225.83063,silver,21347.75102,0,40.54,-79.8,2015,10,25,43,6,1,799,76.0
21,34,70.0,M,1.0,90,42499.0,1,0,Rent,80101,2015-04-24,Local,0,1.0,59,Broker,0,3411.9432450000004,8.0,Large,22996.25703,other,24842.25389,0,39.47,-103.95,2015,4,24,17,4,0,983,90.0
22,35,24.0,M,0.0,80,31796.0,0,1,Rent,50038,2016-04-14,Parking Lot,2,0.0,34,Online,1,5037.605111,7.0,Compact,9224.079753,gray,54331.0653,1,41.53,-93.9,2016,4,14,15,3,0,627,26.666666666666668
23,36,32.0,M,1.0,82,34674.0,1,1,Rent,85040,2016-03-27,Highway,0,1.0,1,Broker,1,9507.865265999999,2.0,Compact,19493.52905,red,8507.918045,0,33.4,-112.02,2016,3,27,12,6,1,645,82.0
